username,from,campaigndate,sent_count,delivered_count,submitted_count,failed_count,total base,wabacount,nonwabacount
AryansgroupWapp,919646699888,2024-11-30,0,6,0,0,6,6,0
Imagine_LM,916366310359,2024-11-30,12,1621,0,534,2167,2119,48
MPokketWapp,919147163607,2024-11-29,3,10,0,2,15,15,0
TitanEncircle,918147745515,2024-11-29,0,17,0,21,38,38,0
V2RetailWapp,918130907705,2024-11-29,5,240,0,3,248,245,3
EncircleWapp_Tech,918147745515,2024-11-29,0,4,0,2,6,4,2
FatakPayWapp1,918828855360,2024-11-28,21025,100522,88,20349,141984,123138,18846
1ststepWapp,919940924255,2024-11-28,10,252,1,18,281,268,13
FatakPayWapp1,918828855360,2024-11-27,8930,50586,44,6516,66076,60912,5164
TitanEncircle,918147745515,2024-11-30,3028,102418,12,65361,170819,155592,15227
MahindraTractorsWapp,917738038456,2024-11-30,1159,14376,0,9658,25193,17020,8173
AryansgroupWapp,919646699888,2024-11-29,0,5,0,0,5,5,0
